ID_CORRELATIVO,CODMES,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,ATTRITION,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5,TOTAL_REQUERIMIENTOS,TOTAL_RECLAMOS,PORC_RECLAMOS,TOTAL_PROCDE,PORC_PROCDE,MESES_ACTIVOS,REQ_PROM_MES
77160,201208,1,1,1,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11752,201208,1,1,2,36.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98898,201208,0,1,1,23.0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79319,201208,1,6,2,30.0,4.0,0,13,9790,10000,3000,0,0,0,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,10,7,10,1,1,1,1,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10364,201208,1,7,2,31.0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56111,201208,1,9,1,27.0,8.0,0,12,0,0,0,410,1150,850,1,1,1,1,1,1,2,1,0,0,0,1,1,0,8,9,11,13,10,16,13,11,11,10,10,13,2,2,3,3,3,3,1,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
82206,201208,1,2,2,24.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,19,5,8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50435,201208,1,1,2,30.0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,5,4,4,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71968,201208,0,1,1,62.0,0.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98748,201208,0,0,2,36.0,0.0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79004,201208,0,0,2,30.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84056,201208,1,3,2,38.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3677,201208,1,2,1,24.0,5.0,0,11,490,690,0,0,0,1100,1,1,1,1,1,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
84477,201208,1,5,1,47.0,4.0,0,7,8790,0,0,840,3730,1880,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
44551,201208,1,0,0,0.0,0.0,0,8,48410,49000,50000,37100,0,0,1,1,1,1,0,0,3,0,4,6,1,1,0,0,1,1,1,3,0,0,4,2,9,12,0,0,2,2,2,2,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17095,201208,0,0,1,45.0,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76137,201208,1,2,1,38.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24969,201208,1,3,2,67.0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,3,3,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51667,201208,1,2,1,38.0,1.0,1,0,25330,28020,6770,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
24472,201208,1,5,1,33.0,8.0,0,0,90,260,240,40,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
99427,201208,0,0,1,25.0,6.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,3,7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
51554,201208,1,1,2,52.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78497,201208,1,1,1,57.0,10.0,0,0,2030,2180,2320,2450,2590,2720,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
83751,201208,1,6,1,24.0,1.0,0,0,15090,15790,16340,17110,17810,0,1,1,1,1,1,1,3,0,0,4,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
74275,201208,1,3,1,26.0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,4,9,5,4,5,5,0,0,1,0,0,1,2,3,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
84367,201208,0,0,2,25.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28607,201208,0,1,2,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,1,2,0,0,0,0,0,0,3,5,2,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
73207,201208,1,3,1,23.0,3.0,0,9,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,4,1,2,4,6,2,4,0,6,8,7,13,14,15,18,27,13,1,2,2,2,1,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
64980,201208,1,4,1,54.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,5,5,5,5,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38815,201208,1,3,1,40.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51177,201208,1,3,2,25.0,1.0,0,1,9030,9310,9630,9910,10240,10650,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,0,0,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
86026,201208,1,5,1,26.0,6.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,1,1,1,1,1,1,2.0,2.0,1.0,0.0,0.0,2.0,1.0
35571,201208,1,1,1,55.0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86862,201208,1,7,1,38.0,10.0,0,3,750,410,3110,660,1720,2030,1,1,1,1,1,1,3,1,7,6,7,9,4,8,0,0,0,0,0,0,10,11,16,9,6,10,4,4,4,4,4,4,1,1,0,1,1,0,2.0,1.0,0.5,0.0,0.0,1.0,2.0
3163,201208,1,3,1,30.0,9.0,0,12,0,0,0,0,0,0,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,36,39,30,31,40,31,1,1,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
13262,201208,1,4,1,59.0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18346,201208,1,3,1,39.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11029,201208,1,0,1,57.0,5.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,1,3,4,1,1,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
48058,201208,1,4,2,42.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66036,201208,1,3,1,51.0,8.0,0,12,2660,2090,0,0,20,140,1,1,1,1,1,1,3,1,7,5,5,5,5,6,0,0,0,0,0,0,6,7,5,8,15,4,5,5,5,5,5,5,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
46785,201208,1,3,1,30.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79037,201208,1,7,2,39.0,5.0,0,6,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,3,3,3,2,1,1,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
42045,201208,1,4,1,41.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,6,6,6,6,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94153,201208,1,2,2,39.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4110,201208,1,1,2,43.0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23867,201208,1,6,2,28.0,4.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,4,4,1,7,0,0,0,0,0,0,16,19,12,23,18,21,1,1,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
9260,201208,1,6,1,31.0,5.0,0,12,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,2,2,1,3,0,0,0,0,0,0,30,35,25,23,38,34,2,2,2,2,2,3,0,0,0,0,0,1,2.0,2.0,1.0,0.0,0.0,2.0,1.0
55759,201208,0,2,2,38.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19294,201208,1,2,1,35.0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,2,2,2,2,2,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77546,201208,1,1,2,57.0,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4547,201208,1,1,2,31.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57964,201208,1,3,2,33.0,0.0,0,1,0,0,0,3230,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,1,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66415,201208,1,0,1,49.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
7587,201208,0,0,2,24.0,0.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6945,201208,1,1,2,29.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96414,201208,1,9,1,32.0,8.0,0,6,616400,621450,624280,40290,0,1500,1,1,1,1,1,1,3,0,0,0,0,0,0,0,3,3,0,3,3,9,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
17388,201208,1,0,1,0.0,0.0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73708,201208,1,6,2,45.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
17784,201208,1,1,1,31.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13813,201208,1,5,2,49.0,1.0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,6,6,6,6,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
35478,201208,1,3,1,39.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,11,1,1,1,7,0,0,0,0,0,0,18,16,12,14,10,7,5,5,5,5,5,5,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
21573,201208,1,2,1,45.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,14,20,15,14,8,3,3,3,3,3,3,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
66705,201208,1,2,1,28.0,6.0,0,1,1340,5660,5930,5130,4180,4390,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,13,9,11,4,4,3,3,3,3,1,1,1,1,1,1,2.0,2.0,1.0,0.0,0.0,2.0,1.0
1487,201208,1,2,1,24.0,2.0,0,9,2800,2840,2890,2940,2980,3020,1,1,1,1,1,1,3,1,0,0,0,0,0,0,18,20,10,12,12,17,4,16,11,14,7,22,4,4,5,5,5,4,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
29321,201208,0,0,2,33.0,0.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93483,201208,1,4,2,24.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,5,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29812,201208,0,1,2,51.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36609,201208,0,1,1,0.0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,27,26,20,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,201208,1,2,1,45.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34790,201208,1,1,1,37.0,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,5,5,5,5,6,6,1,0,0,1,1,1,2.0,2.0,1.0,0.0,0.0,2.0,1.0
73315,201208,1,1,2,39.0,6.0,0,9,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,7,3,7,2,2,2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
