ID_CORRELATIVO,CODMES_x,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,ATTRITION,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES_y,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
66705,201208,1,Rang_ingreso_02,Lima,28.0,6.0,0,Rango_SDO_01,1340,5660,5930,5130,4180,4390,1,1,1,1,1,1,Rango_05,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,13,9,11,4,4,3,3,3,3,1,1,1,1,1,1,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
66705,201208,1,Rang_ingreso_02,Lima,28.0,6.0,0,Rango_SDO_01,1340,5660,5930,5130,4180,4390,1,1,1,1,1,1,Rango_05,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,13,9,11,4,4,3,3,3,3,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 05,Submotivo 125
1487,201208,1,Rang_ingreso_02,Lima,24.0,2.0,0,Rango_SDO_04,2800,2840,2890,2940,2980,3020,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,18,20,10,12,12,17,4,16,11,14,7,22,4,4,5,5,5,4,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,201208,Producto 01,Submotivo 07
34790,201208,1,Rang_ingreso_01,Lima,37.0,8.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,5,5,5,5,6,6,1,0,0,1,1,1,Reclamo,PROCEDE PARCIAL,202406,Producto 18,Submotivo 125
34790,201208,1,Rang_ingreso_01,Lima,37.0,8.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,5,5,5,5,6,6,1,0,0,1,1,1,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
73315,201208,1,Rang_ingreso_01,Provincia,39.0,6.0,0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,7,3,7,2,2,2,1,1,1,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,201208,Producto 01,Submotivo 146
98978,201208,1,Rang_ingreso_03,Provincia,34.0,2.0,0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,0,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,8,6,0,3,3,3,3,2,2,1,1,1,1,1,1,Reclamo,NO PROCEDE,202407,Producto 17,Submotivo 30
98978,201208,1,Rang_ingreso_03,Provincia,34.0,2.0,0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,0,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,8,6,0,3,3,3,3,2,2,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 17,Submotivo 89
98978,201208,1,Rang_ingreso_03,Provincia,34.0,2.0,0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,0,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,8,6,0,3,3,3,3,2,2,1,1,1,1,1,1,Reclamo,NO PROCEDE,202405,Producto 17,Submotivo 30
81262,201208,1,Rang_ingreso_05,Lima,31.0,6.0,0,Rango_SDO_14,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,9,4,6,2,1,2,3,2,2,16,12,9,1,1,8,4,2,1,1,1,1,2,2,2,1,1,1,1,1,1,Reclamo,NO PROCEDE,202406,Producto 18,Submotivo 66
81840,201208,1,Rang_ingreso_02,Provincia,28.0,3.0,0,Rango_SDO_02,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,1,6,4,2,4,0,5,8,5,7,8,3,10,16,11,7,11,13,2,2,2,2,2,2,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 43
28324,201208,1,Rang_ingreso_01,Provincia,42.0,1.0,1,Cero,0,0,0,0,0,0,1,1,1,0,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202406,Producto 21,Submotivo 88
70406,201208,1,Rang_ingreso_04,Lima,33.0,9.0,0,Rango_SDO_01,0,1150,2110,2760,3390,4240,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,9,0,11,2,2,2,2,2,2,1,1,1,1,1,1,Reclamo,PROCEDE PARCIAL,202404,Producto 20,Submotivo 43
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202406,Producto 20,Submotivo 132
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,NO PROCEDE,202406,Producto 17,Submotivo 38
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,NO PROCEDE,202406,Producto 18,Submotivo 125
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,PROCEDE PARCIAL,202406,Producto 18,Submotivo 125
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,NO PROCEDE,202406,Producto 18,Submotivo 125
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 43
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 125
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 125
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
19908,201208,1,Rang_ingreso_06,Lima,29.0,6.0,0,Rango_SDO_11,2610,0,0,3510,250,830,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,12,22,15,16,17,16,5,0,0,0,7,1,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
67044,201208,1,Rang_ingreso_01,Provincia,29.0,5.0,0,Rango_SDO_05,0,0,0,0,0,0,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,14,5,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 150
15772,201208,1,Rang_ingreso_04,Lima,24.0,3.0,0,Rango_SDO_06,0,0,0,0,0,0,1,1,1,1,1,0,Rango_03,1,11,9,6,9,6,7,2,4,4,5,4,3,9,9,9,0,2,12,1,1,1,1,1,0,0,0,0,0,0,0,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
15772,201208,1,Rang_ingreso_04,Lima,24.0,3.0,0,Rango_SDO_06,0,0,0,0,0,0,1,1,1,1,1,0,Rango_03,1,11,9,6,9,6,7,2,4,4,5,4,3,9,9,9,0,2,12,1,1,1,1,1,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 43
64354,201208,1,Rang_ingreso_05,Lima,27.0,1.0,0,Cero,1590,1930,2220,2460,2430,2790,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,3,3,1,1,1,1,1,1,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 43
37535,201208,1,Rang_ingreso_01,Lima,33.0,9.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 27
28432,201208,1,Rang_ingreso_05,Lima,25.0,8.0,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
