ID_CORRELATIVO,CODMES_x,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES_y,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
22416,202408,1,Rang_ingreso_01,Lima,28.0,9.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,4,2,2,3,13,16,9,10,18,10,25,13,20,15,14,4,4,4,4,4,3,1,1,1,1,1,1,Reclamo,NO PROCEDE,202404,Producto 21,Submotivo 125
16769,202408,0,Rang_ingreso_01,Lima,27.0,4.0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,14,22,52,90,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202403,Producto 01,Submotivo 125
14711,202408,1,Rang_ingreso_08,Lima,39.0,6.0,Rango_SDO_04,284280,283390,284340,283610,284270,285350,1,1,1,1,1,1,Rango_04,1,3,1,2,4,4,5,8,5,10,7,9,11,15,9,2,6,12,1,2,2,2,2,2,2,1,1,1,1,1,1,Reclamo,NO PROCEDE,202408,Producto 18,Submotivo 67
55889,202408,1,Rang_ingreso_06,Lima,29.0,4.0,Rango_SDO_02,106480,104610,92010,109470,107230,107240,1,1,1,1,1,1,Rango_05,1,4,6,6,13,5,4,12,19,13,20,15,16,5,11,10,12,9,8,6,6,6,6,6,6,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
62625,202408,1,Rang_ingreso_01,Lima,45.0,1.0,Rango_SDO_01,3780,3880,3980,4080,4180,4270,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,6,6,6,6,6,1,1,1,1,1,1,Solicitud,NO PROCEDE,202408,Producto 20,Submotivo 157
42568,202408,1,Rang_ingreso_06,Provincia,28.0,10.0,Rango_SDO_07,23810,24290,24800,34130,30500,41190,1,1,1,1,1,1,Rango_05,1,0,1,0,1,2,0,6,15,11,11,18,7,16,11,11,13,6,15,3,3,3,3,3,3,1,1,1,0,0,0,Reclamo,PROCEDE TOTAL,202406,Producto 07,Submotivo 125
45083,202408,1,Rang_ingreso_03,Lima,61.0,9.0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,4,4,4,1,1,1,1,1,1,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
43761,202408,1,Rang_ingreso_02,Lima,26.0,4.0,Rango_SDO_05,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202408,Producto 01,Submotivo 146
13643,202408,1,Desconocido,Lima,31.0,10.0,Rango_SDO_05,130,40,100,360,340,90,1,1,1,1,1,1,Rango_03,0,1,0,0,0,0,0,0,0,0,0,0,0,13,16,25,26,15,10,3,1,1,1,1,1,1,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202403,Producto 07,Submotivo 144
1723,202408,1,Desconocido,Desconocido,32.0,1.0,Rango_SDO_01,16940,4740,0,0,0,0,1,1,1,0,0,0,Rango_04,0,4,12,1,0,0,0,10,23,5,0,0,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Reclamo,NO PROCEDE,202407,Producto 18,Submotivo 125
88246,202408,1,Rang_ingreso_01,Lima,36.0,9.0,Rango_SDO_05,7510,7180,7030,6650,6220,6060,1,1,1,1,1,1,Rango_04,1,2,0,3,3,0,1,0,0,0,0,0,0,6,11,9,11,8,9,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 125
77612,202408,1,Rang_ingreso_01,Lima,22.0,2.0,Rango_SDO_01,0,0,0,2860,2160,910,1,1,1,1,1,1,Rango_03,1,0,0,0,0,0,0,0,0,0,1,1,0,4,4,3,12,21,24,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,NO PROCEDE,202408,Producto 20,Submotivo 125
73110,202408,1,Rang_ingreso_01,Provincia,58.0,4.0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,1,1,1,1,1,1,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
64175,202408,1,Rang_ingreso_04,Lima,30.0,4.0,Rango_SDO_01,7100,7240,7360,7470,7590,7700,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,5,16,10,27,7,8,2,2,2,2,2,2,1,1,1,1,1,1,Reclamo,NO PROCEDE,202408,Producto 20,Submotivo 125
87695,202408,1,Rang_ingreso_05,Lima,35.0,10.0,Cero,4580,540,90,20,20,1880,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
87695,202408,1,Rang_ingreso_05,Lima,35.0,10.0,Cero,4580,540,90,20,20,1880,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
87695,202408,1,Rang_ingreso_05,Lima,35.0,10.0,Cero,4580,540,90,20,20,1880,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
87695,202408,1,Rang_ingreso_05,Lima,35.0,10.0,Cero,4580,540,90,20,20,1880,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
87695,202408,1,Rang_ingreso_05,Lima,35.0,10.0,Cero,4580,540,90,20,20,1880,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 125
40798,202408,1,Rang_ingreso_04,Provincia,32.0,4.0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202408,Producto 07,Submotivo 27
40798,202408,1,Rang_ingreso_04,Provincia,32.0,4.0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,NO PROCEDE,202407,Producto 07,Submotivo 27
40798,202408,1,Rang_ingreso_04,Provincia,32.0,4.0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202407,Producto 17,Submotivo 89
28931,202408,0,Rang_ingreso_02,Lima,20.0,2.0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,7,2,19,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202407,Producto 17,Submotivo 89
23818,202408,1,Rang_ingreso_03,Provincia,28.0,4.0,Rango_SDO_09,12490,12810,13130,13410,13600,3950,1,1,1,1,1,1,Rango_04,0,6,2,1,3,5,1,5,6,5,0,2,5,2,4,5,2,6,4,3,3,3,3,3,3,1,1,0,1,1,1,Reclamo,PROCEDE TOTAL,202404,Producto 20,Submotivo 43
9915,202408,1,Rang_ingreso_07,Lima,27.0,3.0,Rango_SDO_09,36020,37300,39130,40410,41040,43290,1,1,1,1,1,1,Rango_03,0,3,0,0,0,2,4,13,10,6,12,9,15,4,4,3,3,1,5,3,4,4,4,4,4,1,1,1,1,1,1,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 144
28443,202408,1,Rang_ingreso_07,Lima,27.0,3.0,Rango_SDO_02,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,9,5,7,7,10,10,2,15,19,8,8,6,9,10,5,9,14,8,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 125
28443,202408,1,Rang_ingreso_07,Lima,27.0,3.0,Rango_SDO_02,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,9,5,7,7,10,10,2,15,19,8,8,6,9,10,5,9,14,8,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,PROCEDE PARCIAL,202404,Producto 20,Submotivo 46
93412,202408,1,Rang_ingreso_02,Lima,40.0,5.0,Cero,15120,11880,11830,12070,12440,12760,1,1,1,1,1,1,Rango_02,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5,5,5,1,1,1,1,1,1,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
29415,202408,1,Rang_ingreso_01,Lima,29.0,1.0,Rango_SDO_02,40,1100,1060,1130,100,0,1,1,1,1,1,0,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8,3,0,1,1,1,1,1,0,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 144
29415,202408,1,Rang_ingreso_01,Lima,29.0,1.0,Rango_SDO_02,40,1100,1060,1130,100,0,1,1,1,1,1,0,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8,3,0,1,1,1,1,1,0,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202404,Producto 20,Submotivo 125
24888,202408,1,Rang_ingreso_02,Lima,30.0,3.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,5,7,2,3,3,3,3,3,3,1,1,1,1,1,1,Reclamo,NO PROCEDE,202404,Producto 01,Submotivo 125
21378,202408,1,Rang_ingreso_06,Lima,57.0,5.0,Rango_SDO_12,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,4,3,3,3,6,2,0,0,0,0,0,0,0,6,1,0,4,0,2,2,2,2,2,2,1,0,0,1,1,1,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 142
8459,202408,0,Rang_ingreso_01,Lima,33.0,2.0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,0,0,Rango_03,0,0,0,0,0,0,2,0,0,0,0,0,0,15,13,15,13,13,14,0,0,0,0,0,0,0,0,0,0,0,0,Reclamo,NO PROCEDE,202403,Producto 21,Submotivo 88
65912,202408,1,Rang_ingreso_03,Lima,26.0,2.0,Rango_SDO_01,3040,2730,2810,2310,1430,230,1,1,1,1,1,1,Rango_03,0,2,0,1,4,4,1,2,3,1,3,9,2,2,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202403,Producto 20,Submotivo 125
28006,202408,1,Rang_ingreso_03,Lima,29.0,9.0,Rango_SDO_01,5830,6250,6640,7040,7440,7810,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,19,15,25,17,13,14,2,2,2,2,2,2,0,0,0,0,0,0,Reclamo,PROCEDE TOTAL,202406,Producto 01,Submotivo 146
34519,202408,1,Rang_ingreso_05,Lima,27.0,5.0,Cero,60,30,60,50,90,40,1,1,1,1,1,1,Rango_02,0,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1,Solicitud,PROCEDE TOTAL,202408,Producto 20,Submotivo 157
34519,202408,1,Rang_ingreso_05,Lima,27.0,5.0,Cero,60,30,60,50,90,40,1,1,1,1,1,1,Rango_02,0,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1,Solicitud,NO PROCEDE,202408,Producto 20,Submotivo 157
34519,202408,1,Rang_ingreso_05,Lima,27.0,5.0,Cero,60,30,60,50,90,40,1,1,1,1,1,1,Rango_02,0,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1,Solicitud,NO PROCEDE,202408,Producto 20,Submotivo 157
34519,202408,1,Rang_ingreso_05,Lima,27.0,5.0,Cero,60,30,60,50,90,40,1,1,1,1,1,1,Rango_02,0,12,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1,1,1,1,1,1,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
28549,202408,1,Rang_ingreso_06,Lima,32.0,7.0,Rango_SDO_11,31030,15480,0,0,0,0,1,1,0,0,0,0,Rango_04,0,11,6,1,3,1,3,0,0,0,0,0,0,24,12,2,15,16,12,6,6,5,5,6,6,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202408,Producto 21,Submotivo 39
80078,202408,1,Rang_ingreso_08,Lima,28.0,10.0,Rango_SDO_11,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,1,0,0,0,0,2,3,3,8,7,6,5,5,7,3,4,6,4,4,4,3,3,3,3,1,1,1,1,1,1,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 67
32435,202408,1,Rang_ingreso_02,Lima,24.0,5.0,Rango_SDO_01,1350,1480,1700,1810,2050,2140,1,1,1,1,1,1,Rango_04,0,1,0,0,0,1,0,2,8,8,6,0,0,10,19,7,13,14,16,3,2,2,2,2,3,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202408,Producto 05,Submotivo 125
32435,202408,1,Rang_ingreso_02,Lima,24.0,5.0,Rango_SDO_01,1350,1480,1700,1810,2050,2140,1,1,1,1,1,1,Rango_04,0,1,0,0,0,1,0,2,8,8,6,0,0,10,19,7,13,14,16,3,2,2,2,2,3,1,1,1,1,1,1,Solicitud,PROCEDE TOTAL,202407,Producto 20,Submotivo 132
32435,202408,1,Rang_ingreso_02,Lima,24.0,5.0,Rango_SDO_01,1350,1480,1700,1810,2050,2140,1,1,1,1,1,1,Rango_04,0,1,0,0,0,1,0,2,8,8,6,0,0,10,19,7,13,14,16,3,2,2,2,2,3,1,1,1,1,1,1,Reclamo,PROCEDE PARCIAL,202407,Producto 18,Submotivo 125
32435,202408,1,Rang_ingreso_02,Lima,24.0,5.0,Rango_SDO_01,1350,1480,1700,1810,2050,2140,1,1,1,1,1,1,Rango_04,0,1,0,0,0,1,0,2,8,8,6,0,0,10,19,7,13,14,16,3,2,2,2,2,3,1,1,1,1,1,1,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 125
32435,202408,1,Rang_ingreso_02,Lima,24.0,5.0,Rango_SDO_01,1350,1480,1700,1810,2050,2140,1,1,1,1,1,1,Rango_04,0,1,0,0,0,1,0,2,8,8,6,0,0,10,19,7,13,14,16,3,2,2,2,2,3,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 59
81868,202408,1,Rang_ingreso_01,Lima,62.0,4.0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 18,Submotivo 125
81868,202408,1,Rang_ingreso_01,Lima,62.0,4.0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 63
94779,202408,1,Rang_ingreso_01,Lima,30.0,8.0,Rango_SDO_02,0,0,60,80,170,880,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,2,5,13,8,11,11,16,2,7,4,4,5,5,4,4,4,4,4,4,1,1,1,1,1,0,Solicitud,NO PROCEDE,202407,Producto 20,Submotivo 157
7233,202408,1,Rang_ingreso_01,Lima,32.0,6.0,Rango_SDO_01,3160,4030,5230,6060,7050,7860,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,4,4,4,5,5,1,1,1,1,1,1,Solicitud,PROCEDE TOTAL,202408,Producto 20,Submotivo 132
7233,202408,1,Rang_ingreso_01,Lima,32.0,6.0,Rango_SDO_01,3160,4030,5230,6060,7050,7860,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,4,4,4,5,5,1,1,1,1,1,1,Solicitud,PROCEDE TOTAL,202408,Producto 20,Submotivo 132
7233,202408,1,Rang_ingreso_01,Lima,32.0,6.0,Rango_SDO_01,3160,4030,5230,6060,7050,7860,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,4,4,4,5,5,1,1,1,1,1,1,Reclamo,NO PROCEDE,202408,Producto 20,Submotivo 125
7233,202408,1,Rang_ingreso_01,Lima,32.0,6.0,Rango_SDO_01,3160,4030,5230,6060,7050,7860,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,4,4,4,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202408,Producto 18,Submotivo 125
7233,202408,1,Rang_ingreso_01,Lima,32.0,6.0,Rango_SDO_01,3160,4030,5230,6060,7050,7860,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,4,4,4,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202408,Producto 18,Submotivo 125
57485,202408,1,Rang_ingreso_08,Lima,31.0,8.0,Rango_SDO_10,66680,75880,71480,67300,66990,66790,1,1,1,1,1,1,Rango_05,1,1,0,0,2,3,3,4,4,4,2,2,4,15,17,9,7,10,11,4,4,4,4,4,4,1,1,1,1,1,1,Reclamo,NO PROCEDE,202408,Producto 18,Submotivo 67
57485,202408,1,Rang_ingreso_08,Lima,31.0,8.0,Rango_SDO_10,66680,75880,71480,67300,66990,66790,1,1,1,1,1,1,Rango_05,1,1,0,0,2,3,3,4,4,4,2,2,4,15,17,9,7,10,11,4,4,4,4,4,4,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202406,Producto 01,Submotivo 146
23261,202408,1,Rang_ingreso_03,Lima,25.0,3.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,7,2,0,0,0,0,0,0,0,0,0,0,11,13,6,9,10,9,1,1,1,1,1,1,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202403,Producto 01,Submotivo 146
29738,202408,1,Rang_ingreso_06,Lima,28.0,4.0,Rango_SDO_09,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,9,7,3,5,5,6,0,0,0,0,0,0,21,29,15,15,17,20,1,1,1,1,1,1,0,0,0,0,0,0,Reclamo,PROCEDE PARCIAL,202408,Producto 20,Submotivo 145
81540,202408,0,Rang_ingreso_01,Desconocido,32.0,1.0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,5,2,4,3,0,0,0,0,0,0,0,0,7,11,7,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,Solicitud,PROCEDE TOTAL,202405,Producto 07,Submotivo 144
98715,202408,1,Rang_ingreso_03,Lima,41.0,1.0,Rango_SDO_03,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,2,1,2,1,0,17,16,17,21,25,18,4,8,6,12,7,4,5,5,5,5,5,5,1,1,1,1,1,1,Reclamo,PROCEDE TOTAL,202404,Producto 21,Submotivo 39
83224,202408,1,Rang_ingreso_02,Lima,34.0,6.0,Cero,0,0,0,0,0,590,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,12,2,2,2,2,2,2,1,1,1,1,1,1,Solicitud,NO PROCEDE,202408,Producto 20,Submotivo 157
